                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.9527,                 1.2306,                0.97813,                0.93009,                0.75165,                0.84135,                0.41097,                 1.8804,                 1.0592,                0.94337,               0.007591,               0.007591,               0.007591
                     76,                   1.95,                 1.2038,                0.97817,                0.89492,                   0.79,                0.85024,                0.40686,                 1.8918,                 1.0095,                0.95239,               0.007558,               0.007558,               0.007558
                     77,                 1.9263,                 1.2077,                0.95843,                0.92335,                0.75178,                0.85147,                0.41373,                 1.8531,                 1.0366,                0.94491,               0.007525,               0.007525,               0.007525
                     78,                 1.8679,                 1.1447,                0.96894,                 0.9089,                0.75195,                0.83916,                0.41803,                 1.8208,                 1.0623,                 0.9405,               0.007492,               0.007492,               0.007492
                     79,                 1.8638,                 1.1224,                0.96805,                0.95596,                  0.727,                0.85762,                0.41878,                 1.8575,                  1.011,                 0.9421,               0.007459,               0.007459,               0.007459
                     80,                 1.8931,                 1.1495,                0.95608,                0.89487,                0.77988,                0.85663,                0.41936,                 1.8346,                 1.0055,                0.93866,               0.007426,               0.007426,               0.007426
                     81,                 1.8852,                 1.1387,                0.96741,                0.90737,                0.78542,                0.84135,                0.42036,                 1.8205,                 1.0473,                0.94079,               0.007393,               0.007393,               0.007393
                     82,                 1.8805,                 1.1405,                0.96499,                0.92876,                0.79581,                0.86118,                0.42685,                 1.8483,                 1.0092,                0.94078,                0.00736,                0.00736,                0.00736
                     83,                 1.8788,                 1.1397,                0.95124,                0.93221,                0.78302,                0.88148,                0.43653,                 1.7784,                0.95788,                0.92768,               0.007327,               0.007327,               0.007327
                     84,                 1.9023,                 1.1477,                0.96284,                0.92639,                0.76614,                0.86278,                0.42628,                 1.8122,                  1.021,                0.93805,               0.007294,               0.007294,               0.007294
